Stock,Symbol,Type,Shares Held,Market Value,% of Portfolio,Previous % of Portfolio,Ranking,Change in shares,% Change,Change Type,% Ownership,Qtr first owned,sector,source_type,source_date,Avg Price,Recent Price
Ishares russell 2000 etf,IWM,"",290894.0,57033000.0,9.551,9.5679,1,-14033.0,-4.602085,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,97.84,227.0
Spdr portfolio s&p 500 value etf-spdr portfolio s&p 500 value etf,SPYV,"",1617467.0,55625000.0,9.3152,10.1481,2,13344.0,0.831856,addition,No Data,Q3 2018,FINANCE,13F,12/31/2020,29.6792,37.03
Ishares trust core s&p small cap index fund,IJR,"",549622.0,50510000.0,8.4586,8.3925,3,-20845.0,-3.654024,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,56.83,108.96
Ishares core s&p 500 etf,IVV,"",132443.0,49718000.0,8.326,9.5273,4,-2893.0,-2.137643,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,151.22,393.21
Ishares russell 1000 growth etf,IWF,"",145292.0,35036000.0,5.8673,6.7316,5,-2871.0,-1.937731,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,64.71,246.03
Apple inc,AAPL,"",233989.0,31048000.0,5.1994,5.6601,6,678.0,0.290599,addition,0.0013496,Q4 2011,INFORMATION TECHNOLOGY,13F,12/31/2020,96.0963,125.35
Vanguard mega cap 300 growth index etf,MGK,"",144081.0,29356000.0,4.9161,5.6551,7,-1526.0,-1.048027,reduction,No Data,Q1 2020,FINANCE,13F,12/31/2020,145.82,208.42
Schwab u.s. broad market etf,SCHB,"",269240.0,24498000.0,4.1025,4.8301,8,-20284.0,-7.005982,reduction,No Data,Q2 2015,FINANCE,13F,12/31/2020,50.4,96.41
United parcel service  inc. class b,UPS,"",139253.0,23450000.0,3.927,1.5338,9,95309.0,216.887402,addition,0.0194700,Q4 2011,TRANSPORTS,13F,12/31/2020,138.869,160.07
Invesco kbw bank etf,KBWB,"",418160.0,21067000.0,3.528,3.2754,10,1076.0,0.257982,addition,No Data,Q1 2016,FINANCE,13F,12/31/2020,34.1219,61.79
Ishares russell midcap growth etf,IWP,"",191075.0,19614000.0,3.2846,3.4949,11,-1947.0,-1.008693,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,28.99,106.84
Ishares msci all cntry asia ex japan index fund,AAXJ,"",212826.0,19071000.0,3.1937,0.2493,12,197401.0,1279.747164,addition,No Data,Q4 2016,FINANCE,13F,12/31/2020,87.8213,97.66
Vanguard total world stock index fund-etf shares,VT,"",162677.0,15061000.0,2.5222,2.2425,13,29923.0,22.540187,addition,No Data,Q1 2016,FINANCE,13F,12/31/2020,74.9695,97.86
Automatic data processing inc,ADP,"",51080.0,9000000.0,1.5072,1.4925,14,0.0,0.0,,0.0119119,Q3 2018,INFORMATION TECHNOLOGY,13F,12/31/2020,145.39,176.62
General mills co.,GIS,"",132119.0,7769000.0,1.301,1.7548,15,-3703.0,-2.726362,reduction,0.0216080,Q4 2011,CONSUMER STAPLES,13F,12/31/2020,47.88,56.2
Spdr s&p international smallcap etf,GWX,"",203221.0,7196000.0,1.2051,1.2973,16,-750.0,-0.367699,reduction,No Data,Q1 2020,FINANCE,13F,12/31/2020,26.93,37.27
C.h. robinson worldwide inc,CHRW,"",68605.0,6440000.0,1.0785,1.4818,17,-624.0,-0.901356,reduction,0.0504648,Q1 2014,TRANSPORTS,13F,12/31/2020,57.43,90.03
Tesla inc,TSLA,"",8278.0,5842000.0,0.9783,0.5486,18,2173.0,35.593776,addition,0.0008733,Q4 2019,CONSUMER DISCRETIONARY,13F,12/31/2020,273.1575,742.02
Unitedhealth group inc.,UNH,"",12895.0,4522000.0,0.7573,0.8408,19,21.0,0.163119,addition,0.0013591,Q2 2015,HEALTH CARE,13F,12/31/2020,204.2988,332.21
Microsoft corp.,MSFT,"",19364.0,4307000.0,0.7213,0.7047,20,3370.0,21.070401,addition,0.0002561,Q4 2011,INFORMATION TECHNOLOGY,13F,12/31/2020,101.5399,234.55
Ishares msci usa small-cap esg optimized etf,ESML,"",125291.0,4276000.0,0.7161,0.663,21,5955.0,4.990112,addition,No Data,Q2 2018,FINANCE,13F,12/31/2020,25.9578,39.16
3m co. (minnesota mining & manufacturing),MMM,"",20648.0,3609000.0,0.6044,0.703,22,-303.0,-1.446232,reduction,0.0035796,Q4 2011,INDUSTRIALS,13F,12/31/2020,153.34,177.63
Vanguard small-cap etf,VB,"",17554.0,3417000.0,0.5722,0.5685,23,-93.0,-0.527002,reduction,No Data,Q4 2018,FINANCE,13F,12/31/2020,132.43,218.14
Vanguard total stock market etf,VTI,"",16813.0,3272000.0,0.5479,0.5893,24,298.0,1.80442,addition,No Data,Q1 2016,FINANCE,13F,12/31/2020,129.967,206.27
Berkshire hathaway inc class b,BRK.B,"",13847.0,3211000.0,0.5377,0.5813,25,817.0,6.270146,addition,0.0010100,Q2 2013,FINANCE,13F,12/31/2020,147.6413,248.45
Ishares esg aware us aggregate bond etf,EAGG,"",50008.0,2827000.0,0.4734,0.1221,26,39688.0,384.573643,addition,No Data,Q3 2020,FINANCE,13F,12/31/2020,56.5276,55.26
Spdr s&p 500 etf trust,SPY,"",7437.0,2780000.0,0.4656,0.5444,27,-324.0,-4.17472,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,229.47,391.77
Heartland financial usa inc,HTLF,"",66760.0,2695000.0,0.4513,0.503,28,-13283.0,-16.59483,reduction,0.1586849,Q1 2018,FINANCE,13F,12/31/2020,52.98,47.78
Wisdomtree emerging markets equity income fund,DEM,"",64689.0,2661000.0,0.4456,0.4854,29,-1062.0,-1.615185,reduction,No Data,Q2 2012,FINANCE,13F,12/31/2020,40.39,43.56
U.s. bancorp (first national bank of cincinnati),USB,"",56778.0,2645000.0,0.4429,0.4271,30,-85.0,-0.149482,reduction,0.0037690,Q4 2014,FINANCE,13F,12/31/2020,45.18,52.81
Invesco ftse rafi us 1500 small-mid etf,PRFZ,"",17417.0,2629000.0,0.4403,0.4355,31,-334.0,-1.881584,reduction,No Data,Q2 2015,FINANCE,13F,12/31/2020,117.01,178.03
Vanguard extended market index etf,VXF,"",15648.0,2577000.0,0.4316,0.4252,32,0.0,0.0,,No Data,Q4 2018,FINANCE,13F,12/31/2020,103.01,183.9
Ishares russell 1000 etf,IWB,"",11489.0,2434000.0,0.4076,0.4516,33,-30.0,-0.260439,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,91.55,222.64
Ishares msci usa esg select etf,SUSA,"",28607.0,2355000.0,0.3944,0.4441,34,-217.0,-0.752845,reduction,No Data,Q4 2011,FINANCE,13F,12/31/2020,48.06,86.69
Ishares msci kld 400 social etf,DSI,"",28343.0,2028000.0,0.3396,0.3171,35,4673.0,19.74229,addition,No Data,Q2 2018,FINANCE,13F,12/31/2020,62.3411,75.61
Ishares esg 1-5 year usd corporate bond etf,SUSB,"",76825.0,2011000.0,0.3368,0.3854,36,6341.0,8.996368,addition,No Data,Q3 2018,FINANCE,13F,12/31/2020,25.2075,26.12
Ishares russell 1000 value etf,IWD,"",14532.0,1987000.0,0.3328,0.3649,37,-212.0,-1.437873,reduction,No Data,Q4 2016,FINANCE,13F,12/31/2020,113.13,148.15
